,Target_test,Prediction_Tree,Prediction_Tree2,Prediction_Logreg,Prediction_Logreg2
2001,0,0,0.0,0,0.014201593906915309
2002,0,0,0.0,0,0.015854597050741666
2003,0,0,0.0,0,0.017555019597312465
2004,0,0,0.0,0,0.020387209896738607
2005,0,0,0.0,0,0.011938066515562716
2006,0,0,0.0,0,0.024209825195102005
2007,0,0,0.0,0,0.04462494520565127
2008,0,0,0.0,0,0.040749503027798895
2009,0,0,0.0,0,0.013696880495811841
2010,0,0,0.0,0,0.014931357226593006
2011,0,0,0.0,0,0.018464192823689496
2012,1,0,0.0,0,0.09668091000686097
2013,0,1,1.0,1,0.5163240561343169
2014,1,1,1.0,0,0.3080128560583933
2015,0,0,0.0,0,0.03209745766815165
2016,1,1,1.0,0,0.4056997866333336
2017,0,0,0.0,0,0.04801140719958942
2018,0,1,1.0,0,0.05181189342050363
2019,0,0,0.0,0,0.017987019426918126
2020,0,0,0.0,0,0.014549041963070296
2021,0,0,0.0,0,0.29897585138338173
2022,0,0,0.0,0,0.0069266775160955925
2023,0,0,0.0,0,0.012575718315585915
2024,0,0,0.0,0,0.01626930343682854
2025,0,0,0.0,0,0.00974881789435958
2026,0,0,0.0,0,0.02276828252067497
2027,0,0,0.0,0,0.024509224940127226
2028,0,0,0.0,0,0.012017826518998955
2029,1,0,0.0,1,0.5185375959406108
2030,0,0,0.0,0,0.02049686153323676
2031,0,0,0.0,0,0.04779369494755703
2032,0,0,0.0,0,0.02738235781600568
2033,0,0,0.0,0,0.011071170446479641
2034,1,1,1.0,0,0.09028281740847062
2035,0,0,0.0,0,0.02004032522163288
2036,0,0,0.0,0,0.010743228444703537
2037,0,0,0.0,0,0.014985637518906251
2038,1,1,1.0,1,0.7830542178186661
2039,0,0,0.0,0,0.016124108899656927
2040,0,1,1.0,0,0.2537851054101602
2041,0,0,0.0,0,0.18794214425913836
2042,0,0,0.0,0,0.020333915517886755
2043,0,0,0.0,0,0.0175093625934321
2044,0,0,0.0,0,0.008331497637393269
2045,0,0,0.0,0,0.017001071442331834
2046,0,0,0.0,0,0.025686521304838488
2047,0,0,0.0,0,0.010680786968157954
2048,0,0,0.0,0,0.031665818288161514
2049,1,1,1.0,1,0.981029174986362
2050,0,0,0.0,0,0.019210572753673816
2051,0,0,0.0,0,0.03618710488814055
2052,0,0,0.0,0,0.03740177056544102
2053,1,1,1.0,1,0.8882753669434299
2054,1,0,0.0,0,0.0650902852053234
2055,0,0,0.0,0,0.008649304619678238
2056,0,0,0.0,0,0.0170221722151332
2057,0,1,1.0,1,0.7168440998762763
2058,0,0,0.0,0,0.20410673123450523
2059,0,0,0.0,0,0.009976027520545397
2060,0,0,0.0,0,0.009305210936272987
2061,0,0,0.0,0,0.14264800308114017
2062,0,0,0.0,0,0.060418127707769796
2063,1,1,1.0,0,0.10865847563076268
2064,0,0,0.0,0,0.015430898099532265
2065,0,0,0.0,0,0.25827598567423815
2066,0,0,0.0,0,0.0664877500863875
2067,0,0,0.0,0,0.010432297229838872
2068,0,0,0.0,0,0.019834756647829115
2069,0,0,0.0,0,0.012736774243788877
2070,0,0,0.0,0,0.03826627384882151
2071,0,0,0.0,0,0.0408163942641324
2072,0,0,0.0,0,0.009964287628495695
2073,0,0,0.0,0,0.485246858836107
2074,0,1,1.0,1,0.5539750243743868
